"","Practice.Code","Volume","Cost","ID","Cluster"
"368","A83054",1919824,191857.88062,368,1
"369","A83055",501727,50542.13242,369,1
"370","A83057",1072416,93989.73829,370,1
"371","A83060",449114,54610.07136,371,1
"372","A83061",380069,40984.94656,372,1
"373","A83066",1093690,122629.92891,373,1
"374","A83068",400149,33298.25575,374,1
"375","A83070",796587,77143.79497,375,1
"376","A83071",690918,73387.69511,376,1
"377","A83072",503992,52710.68055,377,1
"378","A83073",855099,93144.01987,378,1
"379","A83074",1594856,165650.61218,379,1
"380","A83075",1081900,88684.0066,380,1
"381","A83076",380523,42127.66496,381,1
"382","A83603",440102,52664.7484,382,1
"383","A83610",440368,48796.86545,383,1
"384","A83616",379664,42051.37041,384,1
"385","A83617",474677,47233.01442,385,1
"386","A83618",671873,67431.34934,386,1
"387","A83619",430170,43673.13215,387,1
"388","A83622",268249,31781.7989,388,1
"389","A83626",315029,35685.71578,389,1
"390","A83627",903882,81589.73112,390,1
"391","A83630",240138,29562.4385,391,1
"392","A83632",449761,40927.8642,392,1
"393","A83634",480118,52192.44946,393,1
"394","A83635",521930,41821.61371,394,1
"395","A83636",798087,78488.17763,395,1
"396","A83637",352243,36451.79621,396,1
"397","A83638",181326,20962.10721,397,1
"398","A83641",586563,57259.14857,398,1
"399","A83642",91408,1369.43315,399,1
"400","A83643",229416,5270.69965,400,1
"401","A83644",555030,56670.76517,401,1
"402","A83645",147085,2690.99514,402,1
"403","A84002",955864,81686.6676,403,1
"404","A84003",2531737,222978.58023,404,1
"405","A84005",1644930,163224.72312,405,1
"406","A84006",1374439,127187.12424,406,1
"407","A84007",1740939,159135.20116,407,1
"408","A84008",597653,66668.80452,408,1
"409","A84009",2293367,204093.87382,409,1
"410","A84011",930549,92189.46895,410,1
"411","A84013",1117764,106741.64059,411,1
"412","A84014",1852582,166223.26918,412,1
"413","A84015",514845,51397.40502,413,1
"414","A84016",924410,82291.3539,414,1
"415","A84018",977618,99483.3873,415,1
"416","A84020",1604707,149792.39275,416,1
"417","A84021",1697157,132432.10248,417,1
"418","A84022",1774802,172984.73616,418,1
"419","A84024",1592391,126940.30812,419,1
"420","A84025",1374721,96957.8809,420,1
"421","A84026",1792616,164470.59086,421,1
"422","A84027",427744,44742.01142,422,1
"423","A84028",3287769,309322.70944,423,1
"424","A84029",539055,50107.07527,424,1
"425","A84030",1609371,146751.49108,425,1
"426","A84031",1339106,107738.97366,426,1
"427","A84032",457383,44201.95689,427,1
"428","A84033",963180,90454.97596,428,1
"429","A84034",862034,94142.49992,429,1
"430","A84035",1035412,86201.53865,430,1
"431","A84036",3056173,270662.75822,431,1
"432","A84037",895672,82697.48601,432,1
"433","A84038",994769,87766.12722,433,1
"434","A84039",788515,69978.35649,434,1
